timestamp_1;timestamp_2;score
1412242513.982511;1412242613.887082;14.0042
1412242514.082458;1412242613.986615;47.9173
1412242514.182498;1412242614.086378;46.7488
1412242514.282629;1412242614.186279;47.2281
1412242514.382762;1412242614.286181;10.8441
1412242514.482801;1412242614.386128;13.3352
1412242514.582748;1412242614.486075;47.884
1412242514.682512;1412242614.586023;47.8729
1412242514.782183;1412242614.685925;46.6966
1412242514.881900;1412242614.785872;46.3248
1412242514.981709;1412242614.885773;45.5384
1412242515.081610;1412242614.985675;13.3004
1412242515.181558;1412242615.085622;13.4543
1412242515.281598;1412242615.185615;13.6718
1412242515.381637;1412242615.285748;11.4342
1412242515.481769;1412242615.385926;15.8779
1412242515.581947;1412242615.486195;9.612
1412242515.681986;1412242615.586511;10.1298
1412242515.781888;1412242615.686920;10.1029
1412242515.881697;1412242615.787328;10.8156
1412242515.981415;1412242615.887782;8.88604
1412242516.081039;1412242615.988191;42.2666
1412242516.180664;1412242616.088506;11.7202
1412242516.280381;1412242616.188546;43.8024
1412242516.380099;1412242616.288310;43.9435
1412242516.479907;1412242616.387843;44.1507
1412242516.579809;1412242616.487329;44.6243
1412242516.679710;1412242616.586908;43.5224
1412242516.779658;1412242616.686625;43.8165
1412242516.879651;1412242616.786434;42.1987
1412242516.979691;1412242616.886289;41.8765
1412242517.079731;1412242616.986237;41.8615
1412242517.179862;1412242617.086185;42.8076
1412242517.279948;1412242617.186177;42.4612
1412242517.379942;1412242617.286125;41.7795
1412242517.479797;1412242617.386119;41.2737
1412242517.579652;1412242617.486159;41.1697
1412242517.679554;1412242617.586244;41.375
1412242517.779547;1412242617.686376;40.7916
1412242517.879448;1412242617.786646;40.5838
1412242517.979350;1412242617.886916;39.5478
1412242518.079298;1412242617.987186;39.3698
1412242518.179153;1412242618.087272;38.0097
1412242518.278869;1412242618.187173;38.5077
1412242518.378495;1412242618.286752;38.7334
1412242518.478212;1412242618.386239;38.8424
1412242518.578021;1412242618.485633;38.6215
1412242518.677876;1412242618.585119;37.2965
1412242518.777870;1412242618.684698;36.9863
1412242518.877910;1412242618.784416;36.1868
1412242518.978041;1412242618.884179;38.1729
1412242519.078219;1412242618.983988;40.9163
1412242519.178305;1412242619.083935;41.5425
1412242519.278161;1412242619.183883;10.9945
1412242519.377785;1412242619.283922;42.7601
1412242519.477502;1412242619.383962;22.2784
1412242519.577266;1412242619.484048;12.1633
1412242519.677167;1412242619.584226;40.4851
1412242519.777068;1412242619.684357;13.6987
1412242519.877062;1412242619.784489;16.1543
1412242519.977056;1412242619.884621;46.355
1412242520.077141;1412242619.984522;46.0008
1412242520.177134;1412242620.084193;21.9666
1412242520.276990;1412242620.183772;46.0056
1412242520.376707;1412242620.283167;47.2449
1412242520.476285;1412242620.382653;44.6526
1412242520.575911;1412242620.482232;45.8884
1412242520.675444;1412242620.581996;44.2499
1412242520.775023;1412242620.681897;42.8666
1412242520.874647;1412242620.781982;41.1209
1412242520.974456;1412242620.882114;43.6998
1412242521.074312;1412242620.982292;43.6025
1412242521.174260;1412242621.082285;44.0782
1412242521.274252;1412242621.182049;41.8424
1412242521.374338;1412242621.281628;42.8584
1412242521.474424;1412242621.381253;43.8941
1412242521.574371;1412242621.480969;44.8665
1412242521.674365;1412242621.580871;44.4667
1412242521.774359;1412242621.680773;44.8032
1412242521.874445;1412242621.780813;43.99
1412242521.974530;1412242621.880944;43.3516
1412242522.074662;1412242621.981122;44.0782
1412242522.174656;1412242622.081208;43.2502
1412242522.274649;1412242622.181062;44.5344
1412242522.374689;1412242622.280918;42.9379
1412242522.474590;1412242622.380774;45.1137
1412242522.574538;1412242622.480721;44.3341
1412242522.674577;1412242622.580530;43.6808
1412242522.774709;1412242622.680155;42.9834
1412242522.874795;1412242622.779734;43.0693
1412242522.974696;1412242622.879221;44.0474
1412242523.074459;1412242622.978799;42.5826
1412242523.174130;1412242623.078516;44.15
1412242523.273755;1412242623.178326;42.8334
1412242523.373241;1412242623.278227;43.193
1412242523.472820;1412242623.378220;43.1147
1412242523.572446;1412242623.478352;43.0914
1412242523.672117;1412242623.578485;41.465
1412242523.771787;1412242623.678662;40.2323
1412242523.871504;1412242623.778748;41.4898
1412242523.971314;1412242623.878695;42.307
1412242524.071308;1412242623.978412;43.4927
1412242524.171347;1412242624.077991;42.6079
1412242524.271341;1412242624.177386;44.6207
1412242524.371334;1412242624.276688;56.0812
1412242524.471466;1412242624.376082;45.8455
1412242524.571598;1412242624.475707;44.3888
1412242524.671822;1412242624.575609;38.7346
1412242524.772000;1412242624.675741;38.9122
1412242524.872131;1412242624.776056;39.3587
1412242524.972171;1412242624.876419;40.2878
1412242525.072027;1412242624.976735;39.0147
1412242525.171744;1412242625.077051;38.4525
1412242525.271414;1412242625.177367;40.6762
1412242525.371131;1412242625.277545;41.479
1412242525.470987;1412242625.377538;44.4415
1412242525.570888;1412242625.477624;54.1757
1412242525.670928;1412242625.577710;55.341
1412242525.771060;1412242625.677841;66.0884
1412242525.871238;1412242625.777789;68.6843
1412242525.971415;1412242625.877598;64.7208
1412242526.071455;1412242625.977224;67.4126
1412242526.171311;1412242626.076940;66.8984
1412242526.271028;1412242626.176703;64.3331
1412242526.370836;1412242626.276605;62.6705
1412242526.470692;1412242626.376507;62.3064
1412242526.570686;1412242626.476499;63.1003
1412242526.670771;1412242626.576493;60.9621
1412242526.770949;1412242626.676579;56.6156
1412242526.870989;1412242626.776618;56.63
1412242526.970891;1412242626.876704;53.396
1412242527.070607;1412242626.976652;50.6576
1412242527.170324;1412242627.076323;41.4859
1412242527.269995;1412242627.175809;42.3441
1412242527.369667;1412242627.275342;43.1689
1412242527.469429;1412242627.374783;42.742
1412242527.569331;1412242627.474270;40.7708
1412242527.669371;1412242627.573710;43.1328
1412242527.769456;1412242627.673197;39.8398
1412242527.869634;1412242627.772776;38.4418
1412242527.969674;1412242627.872447;32.5137
1412242528.069529;1412242627.972209;33.0901
1412242528.169200;1412242628.072065;40.7627
1412242528.268871;1412242628.172059;38.766
1412242528.368634;1412242628.272098;47.0424
1412242528.468490;1412242628.372184;48.7015
1412242528.568437;1412242628.472270;46.6948
1412242528.668384;1412242628.572402;49.2737
1412242528.768470;1412242628.672487;49.309
1412242528.868417;1412242628.772619;48.9542
1412242528.968365;1412242628.872751;58.485
1412242529.068359;1412242628.972882;55.0337
1412242529.168399;1412242629.073014;57.6638
1412242529.268345;1412242629.173008;57.5689
1412242529.368201;1412242629.273002;57.3378
1412242529.468057;1412242629.372995;53.633
